tipo_producto;nombre_producto;unidades_producto;precio_unidad_producto;descripción_del_producto;materiales;peso;información_nutricional;tiene_bateria;precargado
1;Anillo Banda Brillante;10;59.0;El Anillo Banda Brillante. Una pieza esencial para cualquier colección, esta alianza con recubrimiento de oro de 14k se presenta embellecida con una fila de circonitas cúbicas transparentes.;Metal, oro, circonita;3;-;-;-
1;Pendientes Gemas Brillantes;15;119.0;Los Pendientes Gemas Brillantes. Estos pendientes con recubrimiento de oro de 14k se presentan embellecidos con seis gemas brillantes que cuelgan en una fila.;Metal, oro, circonita;5;-;-;-
1;Pendientes de Aro;15;49.0;Los Pendientes de Aro Pandora Moments para Charm Pequeños. Estos pendientes en plata de primera ley presentan el famoso diseño cadena de serpiente de Pandora.;Metal, plata;4;-;-;-
1;Collar Perla;10;129.0;El Collar Perla Cultivada de Agua Dulce. Esta joya en plata de primera ley tiene una cadena de cable ajustable con un colgante de una luminosa perla cultivada de agua dulce tratada.;Plata;4;-;-;-
2;Bolsa patatas Lays;15;1.5;Patatas doradas hechas a fuego lento dando lugar a un crujido y un sabor inigualables.;Patata, aceite, sal;30;Calorias 153kcal, grasas 8.9g , azúcares 0.2g, sal 0.26g;-;-
2;Sandwich jamon y queso;10;2.75;Sándwich emparedado con jamón y queso;Pan de molde, jamon, queso;135;Calorias 321.3kcal, grasas 12.69g , azúcares 3.37g, sal 2.16g;-;-
2;Kinder bueno;20;1.5;KINDER BUENO son dos barritas de crujiente barquillo con relleno cremoso de leche y avellanas, recubiertas de una fina capa de delicioso chocolate con leche.;Leche, avellana, cacao;43;Calorias 244kcal, grasas 16g , azúcares 17.8g, sal 0.116g;-;-
2;Barra de granola;20;1.0;Barras de granola Nature Valley Sweet & Salty, con cacahuates, avena integral, trozos de chocolate oscuro, almendras y base sumergida en cobertura sabor chocolate;Frutos secos, cacao;30;Calorias 139kcal, grasas 7.1g , azúcares 6.6g, sal 0.29g;-;-
3;Altavoz portátil JBL GO Essential Negro Bluetooth;10;27.90;JBL GO Essential es un altavoz con Bluetooth portátil y ultracompacto. Reproduce música en streaming a través de Bluetooth con una autonomía de hasta 5 horas y calidad de sonido JBL Pro original.;Plastico PCR;177;-;1;1
3;Auriculares de botón Oppo Enco Air2 Pro True Wireless blancos;15;30.0;Auriculares inalámbricos con cancelación de ruido. Diseño de estuche de burbujas refractivas. Controladores de diafragma recubiertos de titanio de 12,4 mm. Resistencia al polvo y al agua IP54. Hasta 28 horas de tiempo de escucha.;Caucho, plastico;45.9;-;1;1
3;Batería externa portátil Samsung EB-P3400 10000 mAh;20;45.90;El Powerbank de 10.000 mAh soporta hasta 25W con carga súper rápida, ofreciéndote un impulso rápido a través del cable.;Acero inoxidable;210;-;1;1
3;Xiaomi Redmi Watch 3 Active Gris Smartwatch;10;50.99;"Gran pantalla LCD de 1,83"", compatible con llamadas Bluetooth, más de 100 modos deportivos, seguimiento Fitness completo, resistencia al agua hasta 50m, baterías de larga duración. Hasta 12 días de batería. Capacidad: 16 GB y Memoria RAM: 2 GB.";Aluminio, plastico;41.67;-;1;1
